"State	",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
Sikkim,Kharif,38.46,37.78,38.39,38.39,38.28,67.96,66.79,67.91,67.95,67.87,1767,1768,1769,1770,1773
Tamil Nadu,Kharif,166.2,168.94,168.58,225.65,201.44,1532.2,1283.61,1368.03,1641.83,1621.59,9219,7598,8115,7276,8050
Tamil Nadu,Rabi,158.32,221.62,164.98,174.56,198.64,1059.48,1550.9,1108.17,922.9,1205.35,6692,6998,6717,5287,6068
Tamil Nadu,Total,324.52,390.56,333.56,400.21,400.08,2591.68,2834.5,2476.2,2564.73,2826.94,7986,7258,7424,6408,7066
Telangana,Kharif,463,426,391,86,289,1597.35,1322.73,1894.4,399.56,1317.26,3450,3105,4845,4646,4558
Telangana,Rabi,167,117,170,173,123.1,958.29,760.73,1105.34,1357.01,909.22,5738,6502,6502,7844,7386
Telangana,Total,630,543,561,259,412.1,2555.64,2083.46,2999.74,1756.57,2226.48,4057,3837,5347,6782,5403
Tripura,Kharif,13.6,13.52,12.49,14.42,14.65,19.14,17.43,17.75,24.4,26.99,1408,1289,1422,1692,1842
Tripura,Rabi,2.14,2.46,2.15,7.36,5.05,3.34,5.27,5.22,18.34,13.32,1559,2138,2427,2491,2637
Tripura,Total,15.74,15.98,14.64,21.78,19.7,22.48,22.69,22.97,42.74,40.31,1429,1420,1570,1962,2046
Uttarakhand,Kharif,22,21,21,20,21,43.34,39.19,40.34,41.48,52.21,1970,1866,1921,2074,2486
Uttar Pradesh,Kharif,664,674,665,709,691,1455.49,1393.16,1530.56,1637.08,1466.99,2192,2067,2302,2309,2123
Uttar Pradesh,Rabi,60,59,64,64,56,143,133,163.01,181,154,2383,2254,2547,2828,2750
Uttar Pradesh,Total,724,733,729,773,747,1598.49,1526.16,1693.57,1818.08,1620.99,2208,2082,2323,2352,2170
West Bengal,Kharif,56.19,53.66,50.03,52.06,52,151.54,182.23,170.29,163.05,158.4,2697,3396,3404,3132,3046
West Bengal,Rabi,180,210.64,252,308.75,309.34,983.34,1550.64,1837.33,2273.03,2367.04,5463,7362,7291,7362,7652
West Bengal,Total,236.19,264.3,302.03,360.81,361.34,1134.88,1732.87,2007.62,2436.08,2525.44,4805,6556,6647,6752,6989
All India,Kharif,7433.69,7330.57,7552.92,7755.44,7784.57,20118.42,19413.6,19429.33,21555.08,22680.58,2706,2648,2572,2779,2914
All India,Rabi,1946.38,1696.56,2016.16,2136.53,2173.37,8634.5,8301.5,9336.64,10091.83,11048.96,4436,4893,4631,4723,5084
All India,Total,9380.07,9027.13,9569.08,9891.96,9957.95,28752.92,27715.1,28765.97,31646.91,33729.54,3065,3070,3006,3199,3387
"	",,,,,,,,,,,,,,,,
